,numaffairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,affairs
1319,0,male,22,1.5,no,3,18,4,5,no
1322,0,female,22,4,yes,4,14,3,4,no
1324,0,female,17.5,0.75,no,2,18,5,4,no
1327,0,male,32,10,yes,4,20,4,5,no
1328,0,female,32,0.75,no,5,14,3,3,no
1330,0,male,37,15,yes,4,17,5,3,no
1332,0,male,32,4,no,3,14,4,5,no
1333,0,female,27,1.5,no,2,17,3,2,no
1336,0,female,22,7,yes,4,14,1,5,no
1341,0,male,47,15,yes,5,14,6,5,no
1344,0,male,27,4,yes,1,16,4,4,no
1352,0,female,37,15,yes,5,14,1,3,no
1358,0,male,42,4,yes,4,18,5,5,no
1359,0,female,32,4,yes,2,14,1,5,no
1361,0,male,52,15,yes,2,14,7,4,no
1364,0,female,22,1.5,no,2,16,1,4,no
1368,0,male,52,15,yes,4,12,2,4,no
1384,0,female,22,0.417,no,3,17,1,5,no
1390,0,female,22,1.5,no,2,16,5,5,no
1393,0,male,27,4,yes,4,20,6,4,no
1394,0,female,32,15,yes,4,14,1,5,no
1402,0,female,27,1.5,no,2,16,3,5,no
1407,0,male,32,4,no,1,20,6,5,no
1408,0,male,37,15,yes,3,20,6,4,no
1412,0,female,32,10,no,2,16,6,5,no
1413,0,female,32,10,yes,5,14,5,5,no
1416,0,male,37,1.5,yes,4,18,5,3,no
1417,0,male,32,1.5,no,2,18,4,4,no
1418,0,female,32,10,yes,4,14,1,4,no
1419,0,female,47,15,yes,4,18,5,4,no
1420,0,female,27,10,yes,5,12,1,5,no
1423,0,male,27,4,yes,3,16,4,5,no
1424,0,female,37,15,yes,4,12,4,2,no
1432,0,female,27,0.75,no,4,16,5,5,no
1433,0,female,37,15,yes,4,16,1,5,no
1437,0,female,32,15,yes,3,16,1,5,no
1438,0,female,27,10,yes,2,16,1,5,no
1439,0,male,27,7,no,2,20,6,5,no
1446,0,female,37,15,yes,2,14,1,3,no
1450,0,male,27,1.5,yes,2,17,4,4,no
1451,0,female,22,0.75,yes,2,14,1,5,no
1452,0,male,22,4,yes,4,14,2,4,no
1453,0,male,42,0.125,no,4,17,6,4,no
1456,0,male,27,1.5,yes,4,18,6,5,no
1464,0,male,27,7,yes,3,16,6,3,no
1469,0,female,52,15,yes,4,14,1,3,no
1473,0,male,27,1.5,no,5,20,5,2,no
1481,0,female,27,1.5,no,2,16,5,5,no
1482,0,female,27,1.5,no,3,17,5,5,no
1496,0,male,22,0.125,no,5,16,4,4,no
1497,0,female,27,4,yes,4,16,1,5,no
1504,0,female,27,4,yes,4,12,1,5,no
1513,0,female,47,15,yes,2,14,5,5,no
1515,0,female,32,15,yes,3,14,5,3,no
1534,0,male,42,7,yes,2,16,5,5,no
1535,0,male,22,0.75,no,4,16,6,4,no
1536,0,male,27,0.125,no,3,20,6,5,no
1540,0,male,32,10,yes,3,20,6,5,no
1551,0,female,22,0.417,no,5,14,4,5,no
1555,0,female,47,15,yes,5,14,1,4,no
1557,0,female,32,10,yes,3,14,1,5,no
1566,0,male,57,15,yes,4,17,5,5,no
1567,0,male,27,4,yes,3,20,6,5,no
1576,0,female,32,7,yes,4,17,1,5,no
1584,0,female,37,10,yes,4,16,1,5,no
1585,0,female,32,10,yes,1,18,1,4,no
1590,0,female,22,4,no,3,14,1,4,no
1594,0,female,27,7,yes,4,14,3,2,no
1595,0,male,57,15,yes,5,18,5,2,no
1603,0,male,32,7,yes,2,18,5,5,no
1608,0,female,27,1.5,no,4,17,1,3,no
1609,0,male,22,1.5,no,4,14,5,5,no
1615,0,female,22,1.5,yes,4,14,5,4,no
1616,0,female,32,7,yes,3,16,1,5,no
1617,0,female,47,15,yes,3,16,5,4,no
1620,0,female,22,0.75,no,3,16,1,5,no
1621,0,female,22,1.5,yes,2,14,5,5,no
1637,0,female,27,4,yes,1,16,5,5,no
1638,0,male,52,15,yes,4,16,5,5,no
1650,0,male,32,10,yes,4,20,6,5,no
1654,0,male,47,15,yes,4,16,6,4,no
1665,0,female,27,7,yes,2,14,1,2,no
1670,0,female,22,1.5,no,4,14,4,5,no
1671,0,female,32,10,yes,2,16,5,4,no
1675,0,female,22,0.75,no,2,16,5,4,no
1688,0,female,22,1.5,no,2,16,5,5,no
1691,0,female,42,15,yes,3,18,6,4,no
1695,0,female,27,7,yes,5,14,4,5,no
1698,0,male,42,15,yes,4,16,4,4,no
1704,0,female,57,15,yes,3,18,5,2,no
1705,0,male,42,15,yes,3,18,6,2,no
1711,0,female,32,7,yes,2,14,1,2,no
1719,0,male,22,4,no,5,12,4,5,no
1723,0,female,22,1.5,no,1,16,6,5,no
1726,0,female,22,0.75,no,1,14,4,5,no
1749,0,female,32,15,yes,4,12,1,5,no
1752,0,male,22,1.5,no,2,18,5,3,no
1754,0,male,27,4,yes,5,17,2,5,no
1758,0,female,27,4,yes,4,12,1,5,no
1761,0,male,42,15,yes,5,18,5,4,no
1773,0,male,32,1.5,no,2,20,7,3,no
1775,0,male,57,15,no,4,9,3,1,no
1786,0,male,37,7,no,4,18,5,5,no
1793,0,male,52,15,yes,2,17,5,4,no
1799,0,male,47,15,yes,4,17,6,5,no
1803,0,female,27,7,no,2,17,5,4,no
1806,0,female,27,7,yes,4,14,5,5,no
1807,0,female,22,4,no,2,14,3,3,no
1808,0,male,37,7,yes,2,20,6,5,no
1814,0,male,27,7,no,4,12,4,3,no
1815,0,male,42,10,yes,4,18,6,4,no
1818,0,female,22,1.5,no,3,14,1,5,no
1827,0,female,22,4,yes,2,14,1,3,no
1834,0,female,57,15,no,4,20,6,5,no
1835,0,male,37,15,yes,4,14,4,3,no
1843,0,female,27,7,yes,3,18,5,5,no
1846,0,female,17.5,10,no,4,14,4,5,no
1850,0,male,22,4,yes,4,16,5,5,no
1851,0,female,27,4,yes,2,16,1,4,no
1854,0,female,37,15,yes,2,14,5,1,no
1859,0,female,22,1.5,no,5,14,1,4,no
1861,0,male,27,7,yes,2,20,5,4,no
1866,0,male,27,4,yes,4,14,5,5,no
1873,0,male,22,0.125,no,1,16,3,5,no
1875,0,female,27,7,yes,4,14,1,4,no
1885,0,female,32,15,yes,5,16,5,3,no
1892,0,male,32,10,yes,4,18,5,4,no
1895,0,female,32,15,yes,2,14,3,4,no
1896,0,female,22,1.5,no,3,17,5,5,no
1897,0,male,27,4,yes,4,17,4,4,no
1899,0,female,52,15,yes,5,14,1,5,no
1904,0,female,27,7,yes,2,12,1,2,no
1905,0,female,27,7,yes,3,12,1,4,no
1908,0,female,42,15,yes,2,14,1,4,no
1916,0,female,42,15,yes,4,14,5,4,no
1918,0,male,27,7,yes,4,14,3,3,no
1920,0,male,27,7,yes,2,20,6,2,no
1930,0,female,42,15,yes,3,12,3,3,no
1940,0,male,27,4,yes,3,16,3,5,no
1947,0,female,27,7,yes,3,14,1,4,no
1949,0,female,22,1.5,no,2,14,4,5,no
1951,0,female,27,4,yes,4,14,1,4,no
1952,0,female,22,4,no,4,14,5,5,no
1960,0,female,22,1.5,no,2,16,4,5,no
9001,0,male,47,15,no,4,14,5,4,no
9012,0,male,37,10,yes,2,18,6,2,no
9023,0,male,37,15,yes,3,17,5,4,no
9029,0,female,27,4,yes,2,16,1,4,no
6,3,male,27,1.5,no,3,18,4,4,yes
12,3,female,27,4,yes,3,17,1,5,yes
43,7,male,37,15,yes,5,18,6,2,yes
53,12,female,32,10,yes,3,17,5,2,yes
67,1,male,22,0.125,no,4,16,5,5,yes
79,1,female,22,1.5,yes,2,14,1,5,yes
122,12,male,37,15,yes,4,14,5,2,yes
126,7,female,22,1.5,no,2,14,3,4,yes
133,2,male,37,15,yes,2,18,6,4,yes
138,3,female,32,15,yes,4,12,3,2,yes
154,1,female,37,15,yes,4,14,4,2,yes
159,7,female,42,15,yes,3,17,1,4,yes
174,12,female,42,15,yes,5,9,4,1,yes
176,12,male,37,10,yes,2,20,6,2,yes
181,12,female,32,15,yes,3,14,1,2,yes
182,3,male,27,4,no,1,18,6,5,yes
186,7,male,37,10,yes,2,18,7,3,yes
189,7,female,27,4,no,3,17,5,5,yes
204,1,male,42,15,yes,4,16,5,5,yes
215,1,female,47,15,yes,5,14,4,5,yes
232,7,female,27,4,yes,3,18,5,4,yes
233,1,female,27,7,yes,5,14,1,4,yes
252,12,male,27,1.5,yes,3,17,5,4,yes
253,12,female,27,7,yes,4,14,6,2,yes
274,3,female,42,15,yes,4,16,5,4,yes
275,7,female,27,10,yes,4,12,7,3,yes
287,1,male,27,1.5,no,2,18,5,2,yes
288,1,male,32,4,no,4,20,6,4,yes
325,1,female,27,7,yes,3,14,1,3,yes
328,3,female,32,10,yes,4,14,1,4,yes
344,3,male,27,4,yes,2,18,7,2,yes
353,1,female,17.5,0.75,no,5,14,4,5,yes
354,1,female,32,10,yes,4,18,1,5,yes
367,7,female,32,7,yes,2,17,6,4,yes
369,7,male,37,15,yes,2,20,6,4,yes
390,7,female,37,10,no,1,20,5,3,yes
392,12,female,32,10,yes,2,16,5,5,yes
423,7,male,52,15,yes,2,20,6,4,yes
432,7,female,42,15,yes,1,12,1,3,yes
436,1,male,52,15,yes,2,20,6,3,yes
483,2,male,37,15,yes,3,18,6,5,yes
513,12,female,22,4,no,3,12,3,4,yes
516,12,male,27,7,yes,1,18,6,2,yes
518,1,male,27,4,yes,3,18,5,5,yes
520,12,male,47,15,yes,4,17,6,5,yes
526,12,female,42,15,yes,4,12,1,1,yes
528,7,male,27,4,no,3,14,3,4,yes
553,7,female,32,7,yes,4,18,4,5,yes
576,1,male,32,0.417,yes,3,12,3,4,yes
611,3,male,47,15,yes,5,16,5,4,yes
625,12,male,37,15,yes,2,20,5,4,yes
635,7,male,22,4,yes,2,17,6,4,yes
646,1,male,27,4,no,2,14,4,5,yes
657,7,female,52,15,yes,5,16,1,3,yes
659,1,male,27,4,no,3,14,3,3,yes
666,1,female,27,10,yes,4,16,1,4,yes
679,1,male,32,7,yes,3,14,7,4,yes
729,7,male,32,7,yes,2,18,4,1,yes
755,3,male,22,1.5,no,1,14,3,2,yes
758,7,male,22,4,yes,3,18,6,4,yes
770,7,male,42,15,yes,4,20,6,4,yes
786,2,female,57,15,yes,1,18,5,4,yes
797,7,female,32,4,yes,3,18,5,2,yes
811,1,male,27,4,yes,1,16,4,4,yes
834,7,male,32,7,yes,4,16,1,4,yes
858,2,male,57,15,yes,1,17,4,4,yes
885,7,female,42,15,yes,4,14,5,2,yes
893,7,male,37,10,yes,1,18,5,3,yes
927,3,male,42,15,yes,3,17,6,1,yes
928,1,female,52,15,yes,3,14,4,4,yes
933,2,female,27,7,yes,3,17,5,3,yes
951,12,male,32,7,yes,2,12,4,2,yes
968,1,male,22,4,no,4,14,2,5,yes
972,3,male,27,7,yes,3,18,6,4,yes
975,12,female,37,15,yes,1,18,5,5,yes
977,7,female,32,15,yes,3,17,1,3,yes
981,7,female,27,7,no,2,17,5,5,yes
986,1,female,32,7,yes,3,17,5,3,yes
1002,1,male,32,1.5,yes,2,14,2,4,yes
1007,12,female,42,15,yes,4,14,1,2,yes
1011,7,male,32,10,yes,3,14,5,4,yes
1035,7,male,37,4,yes,1,20,6,3,yes
1050,1,female,27,4,yes,2,16,5,3,yes
1056,12,female,42,15,yes,3,14,4,3,yes
1057,1,male,27,10,yes,5,20,6,5,yes
1075,12,male,37,10,yes,2,20,6,2,yes
1080,12,female,27,7,yes,1,14,3,3,yes
1125,3,female,27,7,yes,4,12,1,2,yes
1131,3,male,32,10,yes,2,14,4,4,yes
1138,12,female,17.5,0.75,yes,2,12,1,3,yes
1150,12,female,32,15,yes,3,18,5,4,yes
1163,2,female,22,7,no,4,14,4,3,yes
1169,1,male,32,7,yes,4,20,6,5,yes
1198,7,male,27,4,yes,2,18,6,2,yes
1204,1,female,22,1.5,yes,5,14,5,3,yes
1218,12,female,32,15,no,3,17,5,1,yes
1230,12,female,42,15,yes,2,12,1,2,yes
1236,7,male,42,15,yes,3,20,5,4,yes
1247,12,male,32,10,no,2,18,4,2,yes
1259,12,female,32,15,yes,3,9,1,1,yes
1294,7,male,57,15,yes,5,20,4,5,yes
1353,12,male,47,15,yes,4,20,6,4,yes
1370,2,female,42,15,yes,2,17,6,3,yes
1427,12,male,37,15,yes,3,17,6,3,yes
1445,12,male,37,15,yes,5,17,5,2,yes
1460,7,male,27,10,yes,2,20,6,4,yes
1480,2,male,37,15,yes,2,16,5,4,yes
1505,12,female,32,15,yes,1,14,5,2,yes
1543,7,male,32,10,yes,3,17,6,3,yes
1548,2,male,37,15,yes,4,18,5,1,yes
1550,7,female,27,1.5,no,2,17,5,5,yes
1561,3,female,47,15,yes,2,17,5,2,yes
1564,12,male,37,15,yes,2,17,5,4,yes
1573,12,female,27,4,no,2,14,5,5,yes
1575,2,female,27,10,yes,4,14,1,5,yes
1599,1,female,22,4,yes,3,16,1,3,yes
1622,12,male,52,7,no,4,16,5,5,yes
1629,2,female,27,4,yes,1,16,3,5,yes
1664,7,female,37,15,yes,2,17,6,4,yes
1669,2,female,27,4,no,1,17,3,1,yes
1674,12,female,17.5,0.75,yes,2,12,3,5,yes
1682,7,female,32,15,yes,5,18,5,4,yes
1685,7,female,22,4,no,1,16,3,5,yes
1697,2,male,32,4,yes,4,18,6,4,yes
1716,1,female,22,1.5,yes,3,18,5,2,yes
1730,3,female,42,15,yes,2,17,5,4,yes
1731,1,male,32,7,yes,4,16,4,4,yes
1732,12,male,37,15,no,3,14,6,2,yes
1743,1,male,42,15,yes,3,16,6,3,yes
1751,1,male,27,4,yes,1,18,5,4,yes
1757,2,male,37,15,yes,4,20,7,3,yes
1763,7,male,37,15,yes,3,20,6,4,yes
1766,3,male,22,1.5,no,2,12,3,3,yes
1772,3,male,32,4,yes,3,20,6,2,yes
1776,2,male,32,15,yes,5,20,6,5,yes
1782,12,female,52,15,yes,1,18,5,5,yes
1784,12,male,47,15,no,1,18,6,5,yes
1791,3,female,32,15,yes,4,16,4,4,yes
1831,7,female,32,15,yes,3,14,3,2,yes
1840,7,female,27,7,yes,4,16,1,2,yes
1844,12,male,42,15,yes,3,18,6,2,yes
1856,7,female,42,15,yes,2,14,3,2,yes
1876,12,male,27,7,yes,2,17,5,4,yes
1929,3,male,32,10,yes,4,14,4,3,yes
1935,7,male,47,15,yes,3,16,4,2,yes
1938,1,male,22,1.5,yes,1,12,2,5,yes
1941,7,female,32,10,yes,2,18,5,4,yes
1954,2,male,32,10,yes,2,17,6,5,yes
1959,2,male,22,7,yes,3,18,6,2,yes
